Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
0,0.5150784,19,0,5
0,0.4835519,5,0,9
0,0.5101144,18,0,11
0,0.5356932,19,0,20
0,0.4977945,9,0,18
0,0.5246528,16,0,5
0,0.4946631,19,0,5
0,0.519991,12,0,3
0,0.5046296,11,0,7
0,0.5072209,16,0,4
0,0.4818416,9,0,7
0,0.504591,11,0,5
0,0.5146348,20,0,17
0,0.5066293,8,0,14
0,0.5195602,5,0,3
0,0.5071245,7,0,5
0,0.514204,9,0,5
0,0.5060443,20,0,15
0,0.5007973,18,0,18
0,0.4907472,17,0,19
