Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual
923,0.5946065,14,2
896,0.6163194,14,2
823,0.6385031,9,3
864,0.609267,8,2
831,0.6209491,17,2
851,0.6504398,19,2
942,0.6095679,14,3
844,0.6205401,14,4
627,0.5969213,20,3
869,0.653804,19,1
907,0.646412,18,3
824,0.6035648,10,3
653,0.6001157,14,4
804,0.6423611,10,4
774,0.6134259,13,3
718,0.6084954,14,3
898,0.5972222,19,3
809,0.6090741,9,4
822,0.6006713,18,2
764,0.6108102,10,5
